,Site,daylight,Depth_Stratum,Deployment,ACat,Taxa_Groups,Acoustic_Category,Taxa_updated,CAAB_updated,nos,weight_g,av_weight,Weight_Std_gm3_gps,Abd_Std_nosm3_gps,Weight_Std_gm3_sp,Abd_Std_nosm3_sp,datetime_UTC_start,datetime_UTC_stop,lat_decdeg_start,long_decdeg_start,lat_decdeg_stop,long_decdeg_stop,VolumeFiltered_m3_speed,VolumeFiltered_m3_gps,Taxa_PLAOS
1117,58S,Night,Meso,40,Other,other,other,eggs,NA,22,1,0.045454545,4.05E-05,0.000890677,5.06E-05,0.001113639,2/01/2021 14:15,2/01/2021 14:55,-57.98916667,-140.7125,-57.9815,-140.7343333,19755.06176,24700.30448,Other
1208,58S,Night,Lmeso,42,Other,other,other,eggs,NA,0,0,NA,0,0,0,0,4/01/2021 12:38,4/01/2021 14:38,-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272,Other
1382,58S,Night,Epi,49,Other,other,other,eggs,NA,49,1,0.020408163,4.00E-05,0.001958494,5.06E-05,0.002480377,7/01/2021 14:00,7/01/2021 14:40,-56.1035,-140.4263333,-56.10166667,-140.4513333,19755.06176,25019.22956,Other
1438,58S,Night,Meso,53,Other,other,other,eggs,NA,1,0.5,0.5,2.73E-05,5.46E-05,2.53E-05,5.06E-05,9/01/2021 14:23,9/01/2021 15:03,-56.12733333,-140.3933333,-56.12916667,-140.4115,19755.06176,18306.38002,Other
603,55S,Night,Meso,25,FGB,FGB,FGB,Electrona antarctica,37122750,5,2.5,0.5,0.002216324,0.004432649,0.00012655,0.0002531,24/12/2020 17:00,24/12/2020 17:40,-54.21316667,-137.1393333,-54.21366667,-137.1386667,19755.06176,1127.993709,FGB
632,NA,NA,NA,26,FGB,FGB,FGB,Electrona antarctica,37122750,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FGB
657,55S,Night,Epi,27,FGB,FGB,FGB,Electrona antarctica,37122750,32,32,1,0.001267025,0.001267025,0.001619838,0.001619838,25/12/2020 13:23,25/12/2020 14:03,-54.15416667,-137.0081667,-54.15616667,-137.0321667,19755.06176,25256.02262,FGB
693,55S,Day,Lmeso,28,FGB,FGB,FGB,Electrona antarctica,37122750,33,95,2.878787879,0.001156767,0.000401824,0.001602965,0.000556819,26/12/2020 5:28,26/12/2020 7:28,-54.17466667,-137.0768333,-54.211,-137.1255,59265.18528,82125.47455,FGB
738,55S,Night,Lmeso,29,FGB,FGB,FGB,Electrona antarctica,37122750,9,21,2.333333333,6.38E-05,2.73E-05,0.00035434,0.00015186,26/12/2020 15:44,26/12/2020 17:44,-54.21633333,-137.4196667,-54.21516667,-137.1031667,59265.18528,329265.1773,FGB
855,55S,Day,Meso,32,FGB,FGB,FGB,Electrona antarctica,37122750,1,0.5,0.5,2.13E-05,4.26E-05,2.53E-05,5.06E-05,28/12/2020 22:51,28/12/2020 23:31,-54.21066667,-137.4336667,-54.201,-137.449,19755.06176,23459.48729,FGB
933,55S,Night,Lmeso,35,FGB,FGB,FGB,Electrona antarctica,37122750,6,3,0.5,4.70E-05,9.40E-05,5.06E-05,0.00010124,30/12/2020 15:43,30/12/2020 17:43,-54.1705,-137.5628333,-54.19066667,-137.6135,59265.18528,63798.7744,FGB
990,55S,Day,Lmeso,36,FGB,FGB,FGB,Electrona antarctica,37122750,10,19,1.9,0.000300354,0.000158081,0.000320593,0.000168733,31/12/2020 1:36,31/12/2020 3:36,-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388,FGB
1037,58S,Night,Epi,37,FGB,FGB,FGB,Electrona antarctica,37122750,20,22,1.1,0.000943125,0.000857386,0.001113639,0.001012399,1/01/2021 14:08,1/01/2021 14:48,-57.98583333,-140.7623333,-57.99433333,-140.7811667,19755.06176,23326.71731,FGB
1146,58S,Day,Lmeso,41,FGB,FGB,FGB,Electrona antarctica,37122750,33,121,3.666666667,0.002081489,0.000567679,0.002041671,0.000556819,4/01/2021 2:39,4/01/2021 4:39,-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027,FGB
1192,58S,Night,Lmeso,42,FGB,FGB,FGB,Electrona antarctica,37122750,10,16,1.6,0.000115958,7.25E-05,0.000269973,0.000168733,4/01/2021 12:38,4/01/2021 14:38,-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272,FGB
1256,58S,Day,Meso,45,FGB,FGB,FGB,Electrona antarctica,37122750,1,10,10,0.000301228,3.01E-05,0.000506199,5.06E-05,6/01/2021 8:53,6/01/2021 9:33,-56.02666667,-140.5176667,-56.02883333,-140.5508333,19755.06176,33197.40445,FGB
1286,58S,Night,Lmeso,46,FGB,FGB,FGB,Electrona antarctica,37122750,7,10,1.428571429,0.000160893,0.000112625,0.000168733,0.000118113,6/01/2021 15:11,6/01/2021 17:11,-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972,FGB
1328,58S,Day,Lmeso,47,FGB,FGB,FGB,Electrona antarctica,37122750,9,20,2.222222222,0.000385467,0.00017346,0.000337466,0.00015186,7/01/2021 4:55,7/01/2021 6:55,-56.07066667,-140.5386667,-56.0785,-140.589,59265.18528,51885.17818,FGB
1370,58S,Night,Epi,49,FGB,FGB,FGB,Electrona antarctica,37122750,7,9,1.285714286,0.000359723,0.000279785,0.000455579,0.00035434,7/01/2021 14:00,7/01/2021 14:40,-56.1035,-140.4263333,-56.10166667,-140.4513333,19755.06176,25019.22956,FGB
1428,58S,Night,Meso,53,FGB,FGB,FGB,Electrona antarctica,37122750,1,4,4,0.000218503,5.46E-05,0.00020248,5.06E-05,9/01/2021 14:23,9/01/2021 15:03,-56.12733333,-140.3933333,-56.12916667,-140.4115,19755.06176,18306.38002,FGB
81,SOTS,Night,Epi,5,FGB,FGB,FGB,Electrona paucirastra,37122075,2,3,1.5,0.00012096,8.06E-05,0.00015186,0.00010124,10/12/2020 16:55,10/12/2020 17:35,-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,FGB
136,SOTS,Day,Lmeso,7,FGB,FGB,FGB,Electrona paucirastra,37122075,1,0.5,0.5,7.51E-06,1.50E-05,8.44E-06,1.69E-05,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,FGB
792,55S,Day,Lmeso,30,FGB,FGB,FGB,Electrona spp.,37122901,14,17,1.214285714,0.000154151,0.000126948,0.000860539,0.000708679,27/12/2020 2:28,27/12/2020 3:08,-54.164,-137.2366667,-54.18383333,-137.337,19755.06176,110281.1743,FGB
313,SOTS,Day,Lmeso,14,FGB,FGB,FGB,Electrona subaspera,37122014,4,2,0.5,3.08E-05,6.17E-05,3.37E-05,6.75E-05,16/12/2020 3:20,16/12/2020 5:20,-46.90783333,-140.646,-46.88283333,-140.6848333,59265.18528,64862.60608,FGB
387,SOTS,Night,Epi,17,FGB,FGB,FGB,Electrona subaspera,37122014,4,3,0.75,0.000293108,0.00039081,0.00015186,0.00020248,18/12/2020 11:21,18/12/2020 12:01,-46.9155,-140.6348333,-46.91633333,-140.6431667,19755.06176,10235.15194,FGB
36,NA,NA,NA,2,Copepod,Crustaceans,Crustaceans,Euchirella spp.,27212903,33,0.5,0.015151515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustacean
51,SOTS,Day,Meso,3,Copepod,Crustaceans,Crustaceans,Euchirella spp.,27212903,13,0.5,0.038461538,1.95E-05,0.000506858,2.53E-05,0.000658059,10/12/2020 2:28,10/12/2020 3:08,-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,Crustacean
77,SOTS,Night,Epi,5,Copepod,Crustaceans,Crustaceans,Euchirella spp.,27212903,4,0.5,0.125,2.02E-05,0.00016128,2.53E-05,0.00020248,10/12/2020 16:55,10/12/2020 17:35,-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,Crustacean
97,SOTS,Night,Lmeso,6,Copepod,Crustaceans,Crustaceans,Euchirella spp.,27212903,30,0.5,0.016666667,5.08E-06,0.0003049,8.44E-06,0.000506199,11/12/2020 11:49,11/12/2020 13:49,-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,Crustacean
257,SOTS,Night,Lmeso,13,Copepod,Crustaceans,Crustaceans,Euchirella spp.,27212903,8,0.5,0.0625,9.82E-06,0.000157084,8.44E-06,0.000134987,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,Crustacean
269,SOTS,Night,Lmeso,13,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,23,1,0.043478261,1.96E-05,0.000451615,1.69E-05,0.000388086,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,Krill
343,SOTS,Day,Epi,15,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,2,0.5,0.25,2.12E-05,8.49E-05,2.53E-05,0.00010124,17/12/2020 21:19,17/12/2020 21:59,-46.91733333,-140.6425,-46.929,-140.6516667,19755.06176,23556.14303,Krill
363,SOTS,Day,Meso,16,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,10,1,0.1,5.40E-05,0.00053984,5.06E-05,0.000506199,18/12/2020 1:07,18/12/2020 1:47,-46.91616667,-140.6318333,-46.90933333,-140.6433333,19755.06176,18524.01208,Krill
390,SOTS,Night,Epi,17,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,180,6.5,0.036111111,0.000635066,0.017586451,0.00032903,0.009111589,18/12/2020 11:21,18/12/2020 12:01,-46.9155,-140.6348333,-46.91633333,-140.6431667,19755.06176,10235.15194,Krill
420,SOTS,Night,Meso,18,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,58,4,0.068965517,7.62E-05,0.001105357,0.00020248,0.002935956,19/12/2020 14:28,19/12/2020 15:08,-46.91616667,-140.6538333,-46.91683333,-140.6106667,19755.06176,52471.74474,Krill
490,NA,NA,NA,21,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,9,0.5,0.055555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Krill
608,55S,Night,Meso,25,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,45,0.5,0.011111111,0.000443265,0.03989384,2.53E-05,0.002277897,24/12/2020 17:00,24/12/2020 17:40,-54.21316667,-137.1393333,-54.21366667,-137.1386667,19755.06176,1127.993709,Krill
661,55S,Night,Epi,27,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,183,25,0.136612022,0.000989863,0.007245796,0.001265498,0.009263449,25/12/2020 13:23,25/12/2020 14:03,-54.15416667,-137.0081667,-54.15616667,-137.0321667,19755.06176,25256.02262,Krill
835,55S,Night,Epi,31,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,4,0.5,0.125,3.41E-05,0.000273151,2.53E-05,0.00020248,28/12/2020 3:16,28/12/2020 3:56,-54.20316667,-137.4023333,-54.204,-137.4163333,19755.06176,14643.91055,Krill
1042,58S,Night,Epi,37,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,448,28,0.0625,0.00120034,0.019205446,0.001417358,0.022677732,1/01/2021 14:08,1/01/2021 14:48,-57.98583333,-140.7623333,-57.99433333,-140.7811667,19755.06176,23326.71731,Krill
1064,58S,Day,Meso,38,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,68,0.5,0.007352941,2.26E-05,0.003079311,2.53E-05,0.003442156,1/01/2021 22:38,1/01/2021 23:18,-57.97916667,-140.7305,-57.98616667,-140.7498333,19755.06176,22082.85956,Krill
1111,58S,Night,Meso,40,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,41,1,0.024390244,4.05E-05,0.001659899,5.06E-05,0.002075417,2/01/2021 14:15,2/01/2021 14:55,-57.98916667,-140.7125,-57.9815,-140.7343333,19755.06176,24700.30448,Krill
1198,58S,Night,Lmeso,42,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,2,0.5,0.25,3.62E-06,1.45E-05,8.44E-06,3.37E-05,4/01/2021 12:38,4/01/2021 14:38,-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272,Krill
1376,58S,Night,Epi,49,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,403,67,0.166253102,0.00267794,0.01610761,0.003391536,0.020399835,7/01/2021 14:00,7/01/2021 14:40,-56.1035,-140.4263333,-56.10166667,-140.4513333,19755.06176,25019.22956,Krill
1432,58S,Night,Meso,53,Krill,Crustaceans,Crustaceans,Euphausia similis similis,28702007,4,0.5,0.125,2.73E-05,0.000218503,2.53E-05,0.00020248,9/01/2021 14:23,9/01/2021 15:03,-56.12733333,-140.3933333,-56.12916667,-140.4115,19755.06176,18306.38002,Krill
13,Trawl,Day,Integrated,1,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,3,0.5,0.166666667,8.61E-06,5.17E-05,1.27E-05,7.59E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,Krill
41,NA,NA,NA,2,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,2,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Krill
102,SOTS,Night,Lmeso,6,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,40,1,0.025,1.02E-05,0.000406533,1.69E-05,0.000674933,11/12/2020 11:49,11/12/2020 13:49,-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,Krill
185,SOTS,Day,Meso,10,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,24,1,0.041666667,3.08E-05,0.000738021,5.06E-05,0.001214879,14/12/2020 4:52,14/12/2020 5:32,-46.9175,-140.6346667,-46.9345,-140.6445,19755.06176,32519.41514,Krill
206,SOTS,Night,Epi,11,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,555,35.5,0.063963964,0.001421343,0.022220996,0.001797008,0.028094066,14/12/2020 11:23,14/12/2020 12:03,-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,Krill
233,SOTS,Night,Meso,12,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,47,1,0.021276596,4.33E-05,0.002034248,5.06E-05,0.002379137,14/12/2020 14:23,14/12/2020 15:03,-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,Krill
270,SOTS,Night,Lmeso,13,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,14,0.5,0.035714286,9.82E-06,0.000274896,8.44E-06,0.000236226,15/12/2020 11:46,15/12/2020 13:46,-46.90983333,-140.637,-46.88583333,-140.6598333,59265.18528,50928.31023,Krill
318,SOTS,Day,Lmeso,14,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,4,0.5,0.125,7.71E-06,6.17E-05,8.44E-06,6.75E-05,16/12/2020 3:20,16/12/2020 5:20,-46.90783333,-140.646,-46.88283333,-140.6848333,59265.18528,64862.60608,Krill
449,SOTS,Day,200-100m_scattering_layer,19,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,1,0.5,0.5,3.76E-05,7.53E-05,5.06E-05,0.00010124,19/12/2020 4:15,19/12/2020 4:35,-46.91433333,-140.6386667,-46.91533333,-140.6495,9877.53088,13285.29518,Krill
467,SOTS,Day,target_100to0m,20,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,2,0.5,0.25,4.24E-05,0.000169764,5.06E-05,0.00020248,19/12/2020 7:21,19/12/2020 7:41,-46.91666667,-140.6181667,-46.91616667,-140.6278333,9877.53088,11781.07762,Krill
575,55S,Day,Epi,23,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,5,0.5,0.1,1.80E-05,0.000179606,2.53E-05,0.0002531,24/12/2020 2:49,24/12/2020 3:29,-54.09683333,-138.8545,-54.09866667,-138.881,19755.06176,27838.73063,Krill
635,NA,NA,NA,26,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,8,1,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Krill
800,55S,Day,Lmeso,30,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,13,1,0.076923077,9.07E-06,0.000117881,5.06E-05,0.000658059,27/12/2020 2:28,27/12/2020 3:08,-54.164,-137.2366667,-54.18383333,-137.337,19755.06176,110281.1743,Krill
876,55S,Day,Epi,33,Krill,Crustaceans,Crustaceans,Euphausia spp.,28702901,1,0.5,0.5,0.001095566,0.002191132,2.53E-05,5.06E-05,30/12/2020 18:25,30/12/2020 19:05,-54.196,-137.6243333,-54.19616667,-137.6246667,19755.06176,456.3850914,Krill
609,55S,Night,Meso,25,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,135,27,0.2,0.023936304,0.119681519,0.001366738,0.006833692,24/12/2020 17:00,24/12/2020 17:40,-54.21316667,-137.1393333,-54.21366667,-137.1386667,19755.06176,1127.993709,Krill
636,NA,NA,NA,26,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,4,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Krill
662,55S,Night,Epi,27,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,142,19,0.133802817,0.000752296,0.005622421,0.000961779,0.007188031,25/12/2020 13:23,25/12/2020 14:03,-54.15416667,-137.0081667,-54.15616667,-137.0321667,19755.06176,25256.02262,Krill
745,55S,Night,Lmeso,29,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,42,5.5,0.130952381,1.67E-05,0.000127557,9.28E-05,0.000708679,26/12/2020 15:44,26/12/2020 17:44,-54.21633333,-137.4196667,-54.21516667,-137.1031667,59265.18528,329265.1773,Krill
801,55S,Day,Lmeso,30,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,70,14,0.2,0.000126948,0.000634741,0.000708679,0.003543396,27/12/2020 2:28,27/12/2020 3:08,-54.164,-137.2366667,-54.18383333,-137.337,19755.06176,110281.1743,Krill
836,55S,Night,Epi,31,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,4,1,0.25,6.83E-05,0.000273151,5.06E-05,0.00020248,28/12/2020 3:16,28/12/2020 3:56,-54.20316667,-137.4023333,-54.204,-137.4163333,19755.06176,14643.91055,Krill
858,55S,Day,Meso,32,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,2,0.5,0.25,2.13E-05,8.53E-05,2.53E-05,0.00010124,28/12/2020 22:51,28/12/2020 23:31,-54.21066667,-137.4336667,-54.201,-137.449,19755.06176,23459.48729,Krill
900,55S,Night,Meso,34,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,21,3,0.142857143,0.000121175,0.000848224,0.00015186,0.001063019,29/12/2020 13:42,29/12/2020 14:22,-54.17216667,-137.4143333,-54.17483333,-137.4376667,19755.06176,24757.61468,Krill
941,55S,Night,Lmeso,35,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,71,27,0.38028169,0.000423206,0.001112874,0.000455579,0.001198005,30/12/2020 15:43,30/12/2020 17:43,-54.1705,-137.5628333,-54.19066667,-137.6135,59265.18528,63798.7744,Krill
1000,55S,Day,Lmeso,36,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,104,18,0.173076923,0.000284546,0.001644043,0.00030372,0.001754825,31/12/2020 1:36,31/12/2020 3:36,-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388,Krill
1043,58S,Night,Epi,37,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,393,82,0.208651399,0.003515282,0.016847634,0.004150835,0.019893636,1/01/2021 14:08,1/01/2021 14:48,-57.98583333,-140.7623333,-57.99433333,-140.7811667,19755.06176,23326.71731,Krill
1065,58S,Day,Meso,38,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,31,8,0.258064516,0.000362272,0.001403804,0.00040496,0.001569218,1/01/2021 22:38,1/01/2021 23:18,-57.97916667,-140.7305,-57.98616667,-140.7498333,19755.06176,22082.85956,Krill
1112,58S,Night,Meso,40,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,56,15,0.267857143,0.00060728,0.002267179,0.000759299,0.002834717,2/01/2021 14:15,2/01/2021 14:55,-57.98916667,-140.7125,-57.9815,-140.7343333,19755.06176,24700.30448,Krill
1153,58S,Day,Lmeso,41,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,180,45,0.25,0.000774108,0.00309643,0.000759299,0.003037196,4/01/2021 2:39,4/01/2021 4:39,-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027,Krill
1199,58S,Night,Lmeso,42,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,10,2,0.2,1.45E-05,7.25E-05,3.37E-05,0.000168733,4/01/2021 12:38,4/01/2021 14:38,-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272,Krill
1261,58S,Day,Meso,45,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,207,27,0.130434783,0.000813317,0.006235427,0.001366738,0.010478327,6/01/2021 8:53,6/01/2021 9:33,-56.02666667,-140.5176667,-56.02883333,-140.5508333,19755.06176,33197.40445,Krill
1295,58S,Night,Lmeso,46,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,140,28,0.2,0.000450499,0.002252495,0.000472453,0.002362264,6/01/2021 15:11,6/01/2021 17:11,-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972,Krill
1330,58S,Day,Lmeso,47,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,16,4,0.25,7.71E-05,0.000308373,6.75E-05,0.000269973,7/01/2021 4:55,7/01/2021 6:55,-56.07066667,-140.5386667,-56.0785,-140.589,59265.18528,51885.17818,Krill
1377,58S,Night,Epi,49,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,570,140,0.245614035,0.005595696,0.022782476,0.007086791,0.028853365,7/01/2021 14:00,7/01/2021 14:40,-56.1035,-140.4263333,-56.10166667,-140.4513333,19755.06176,25019.22956,Krill
1404,55S,Day,Targeted_850to750,52,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,3,0.5,0.166666667,2.42E-05,0.000145182,2.53E-05,0.00015186,9/01/2021 1:36,9/01/2021 2:16,-56.117,-140.4165,-56.117,-140.4373333,19755.06176,20663.67985,Krill
1433,58S,Night,Meso,53,Krill,Crustaceans,Crustaceans,Euphausia triacantha,28702043,17,9,0.529411765,0.000491632,0.000928638,0.000455579,0.000860539,9/01/2021 14:23,9/01/2021 15:03,-56.12733333,-140.3933333,-56.12916667,-140.4115,19755.06176,18306.38002,Krill
144,SOTS,Day,Lmeso,7,Krill,Crustaceans,Crustaceans,Euphausiidae - undifferentiated,28702000,13,2,0.153846154,3.00E-05,0.000195289,3.37E-05,0.000219353,12/12/2020 4:25,12/12/2020 6:25,-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,Krill
234,SOTS,Night,Meso,12,Krill,Crustaceans,Crustaceans,Euphausiidae - undifferentiated,28702000,52,5,0.096153846,0.000216409,0.002250657,0.0002531,0.002632237,14/12/2020 14:23,14/12/2020 15:03,-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,Krill
543,SOTS,Day,Lmeso,22,Krill,Crustaceans,Crustaceans,Euphausiidae - undifferentiated,28702000,65,8,0.123076923,0.000122142,0.000992405,0.000134987,0.001096765,20/12/2020 2:51,20/12/2020 4:51,-46.92683333,-140.6515,-46.9575,-140.6813333,59265.18528,65497.47942,Krill
701,55S,Day,Lmeso,28,Krill,Crustaceans,Crustaceans,Euphausiidae - undifferentiated,28702000,48,50,1.041666667,0.000608824,0.000584472,0.000843666,0.000809919,26/12/2020 5:28,26/12/2020 7:28,-54.17466667,-137.0768333,-54.211,-137.1255,59265.18528,82125.47455,Krill
629,NA,NA,NA,26,Ctenophore,Gelatinous_Active,G_nGB,Euplokamididae - undifferentiated,12018000,3,0.5,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ctenophore
570,55S,Day,Epi,23,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,482,112,0.232365145,0.004023172,0.017314008,0.005669433,0.02439881,24/12/2020 2:49,24/12/2020 3:29,-54.09683333,-138.8545,-54.09866667,-138.881,19755.06176,27838.73063,Ctenophore
588,55S,Day,Meso,24,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,16,20,1.25,0.000701113,0.00056089,0.001012399,0.000809919,24/12/2020 5:38,24/12/2020 6:18,-54.102,-138.9095,-54.10383333,-138.9366667,19755.06176,28526.07107,Ctenophore
654,55S,Night,Epi,27,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,42,48,1.142857143,0.001900537,0.00166297,0.002429757,0.002126037,25/12/2020 13:23,25/12/2020 14:03,-54.15416667,-137.0081667,-54.15616667,-137.0321667,19755.06176,25256.02262,Ctenophore
829,55S,Night,Epi,31,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,1,0.5,0.5,3.41E-05,6.83E-05,2.53E-05,5.06E-05,28/12/2020 3:16,28/12/2020 3:56,-54.20316667,-137.4023333,-54.204,-137.4163333,19755.06176,14643.91055,Ctenophore
854,55S,Day,Meso,32,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,5,2,0.4,8.53E-05,0.000213133,0.00010124,0.0002531,28/12/2020 22:51,28/12/2020 23:31,-54.21066667,-137.4336667,-54.201,-137.449,19755.06176,23459.48729,Ctenophore
873,55S,Day,Epi,33,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,19,3,0.157894737,0.006573396,0.041631509,0.00015186,0.000961779,30/12/2020 18:25,30/12/2020 19:05,-54.196,-137.6243333,-54.19616667,-137.6246667,19755.06176,456.3850914,Ctenophore
1033,58S,Night,Epi,37,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,2,0.5,0.25,2.14E-05,8.57E-05,2.53E-05,0.00010124,1/01/2021 14:08,1/01/2021 14:48,-57.98583333,-140.7623333,-57.99433333,-140.7811667,19755.06176,23326.71731,Ctenophore
1061,58S,Day,Meso,38,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,62,90,1.451612903,0.004075559,0.002807607,0.004555794,0.003138436,1/01/2021 22:38,1/01/2021 23:18,-57.97916667,-140.7305,-57.98616667,-140.7498333,19755.06176,22082.85956,Ctenophore
1083,58S,Day,Epi,39,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,2,0.5,0.25,2.38E-05,9.52E-05,2.53E-05,0.00010124,2/01/2021 2:13,2/01/2021 2:53,-57.99083333,-140.7661667,-57.99766667,-140.7843333,19755.06176,21005.71883,Ctenophore
1103,58S,Night,Meso,40,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,49,5,0.102040816,0.000202427,0.001983781,0.0002531,0.002480377,2/01/2021 14:15,2/01/2021 14:55,-57.98916667,-140.7125,-57.9815,-140.7343333,19755.06176,24700.30448,Ctenophore
1236,58S,Day,Epi,44,Ctenophore,Gelatinous_Active,G_nGB,Euplokamis spp.,12018901,0,148,NA,0.007191431,0,0.007491751,0,6/01/2021 4:58,6/01/2021 5:38,-56.02416667,-140.4646667,-56.02633333,-140.485,19755.06176,20580.04901,Ctenophore
